book name,Web Url,Price,Discount
演算法：最強彩色圖鑑 + Python程式實作 王者歸來(第二版),https://www.books.com.tw/products/0010880939?loc=P_0005_001,545,79
AI手機APP、智慧硬體專案實作：使用TensorFlow Lite(iOS/Android/RPi適用),https://www.books.com.tw/products/0010880636?loc=P_0005_002,458,79
Regular Expression：橫刃萬解程式的關鍵語言-正規表示法 (第二版),https://www.books.com.tw/products/0010880852?loc=P_0005_003,558,9
智慧新世界：圖靈所沒有預料到的人工智慧,https://www.books.com.tw/products/0010880354?loc=P_0005_004,316,79
Arduino字幕機自造與程式設計,https://www.books.com.tw/products/0010881204?loc=P_0005_005,171,95
用mBlock玩CyberPi編程學習遊戲機：含遊戲機範例(精裝版),https://www.books.com.tw/products/0010881272?loc=P_0005_006,1935,9
向AI贏家學習!：日本26家頂尖企業最強「深度學習」活用術，人工智慧創新專案致勝的關鍵思維,https://www.books.com.tw/products/0010878764?loc=P_0005_007,332,79
Flag’s 旗標創客.自造者工作坊 Vision × Voice 影像辨識聲控：雙V AI自駕車,https://www.books.com.tw/products/0010879013?loc=P_0005_008,1614,95
自然語言處理最佳實務：全面建構真正的NLP系統,https://www.books.com.tw/products/0010880194?loc=P_0005_009,616,79
Illustrator向量圖形設計,https://www.books.com.tw/products/0010880342?loc=P_0005_010,406,78
PhotoShop影像處理設計,https://www.books.com.tw/products/0010880344?loc=P_0005_011,429,78
C#程式設計從入門到專業(上)：完全剖析C#技術實務,https://www.books.com.tw/products/0010880684?loc=P_0005_012,530,78
C#程式設計從入門到專業(下)：職場C#進階應用技術,https://www.books.com.tw/products/0010880712?loc=P_0005_013,468,78
高效能Python程式設計 第二版,https://www.books.com.tw/products/0010879684?loc=P_0005_014,616,79
Python 3.9技術手冊,https://www.books.com.tw/products/0010879685?loc=P_0005_015,442,79
高生產力軟體開發實務：以Java專案驅動的基礎指南,https://www.books.com.tw/products/0010880007?loc=P_0005_016,379,79
操作介面設計模式 第三版,https://www.books.com.tw/products/0010880011?loc=P_0005_017,774,79
Scrum實踐者應該知道的97件事：來自專家的集體智慧,https://www.books.com.tw/products/0010880016?loc=P_0005_018,356,79
PowerPoint 2016/2019高效實用範例必修16課,https://www.books.com.tw/products/0010880017?loc=P_0005_019,379,79
演算法入門圖解：使用Python,https://www.books.com.tw/products/0010880019?loc=P_0005_020,356,79
輕課程 用Arduino輕鬆入門 物聯網IoT實作應用：使用圖形化motoBlockly程式語言,https://www.books.com.tw/products/0010881258?loc=P_0005_021,315,9
視覺化社群行銷與SEO超級淘金術：使用Instagram與YouTube,https://www.books.com.tw/products/0010879732?loc=P_0005_022,390,78
